,Tweets
90,"Beli Gadget terbaru dengan jaminan harga termurah pastinya hanya di #TokopediaTekno!

Ditambah cashbacknya yang ban… https://t.co/nL16MPExqd"
91,"😱DANDANIN SI KECHIL YUK BUND, SEMUANYA DI BAWAH 80K LOH! 😱
Yakin gak mau cek barang #YangLagiViral di bawah? 
#Tokopedia #Tokopediapromo"
92,"Smooth like butter, like a criminal undercover~
Sama kayak lagunya BTS, #YangLagiViral juga siap bikin kamu makin k… https://t.co/lgQN5vK7wb"
93,Jangan cuma wajah aja yang dirawat. Kesehatan Gigi juga wajib banget loh di jaga! Nih minto rekomendasiin Pasta Gig… https://t.co/3V91kfSAqs
94,Pasti gak nolak kannn kalo dijajanin Minto sampai jutaan rupiah??? Langsung ikutan kuyyy👇👇👇 https://t.co/tfXyp1wyET
95,"Pagi sobi-sobi Mintoo☺️

Minto mau kasih rekomendasi korean hand bag yang harganya cuma 50 ribuan nihh. Pas banget… https://t.co/dqimSVyXn8"
96,"Minto exited banget nih mau liat Sehun Oppa di Jakarta🥰

Pas banget nih di #KejarDiskon ada Facial Wash yang di pak… https://t.co/y6iECwNsPt"
97,"RT @tokopedia: Seperti biasaaaa!!💜
Minto Open Pre Order Special 8 Photo-Folio Us, Ourselves, and BTS ‘We’

📆 Release date: 7 Nov 2022
✅ Ber…"
98,"Eits, sebelum tidur sini telponan dulu, siapa tau bisa dapetin Kulkas &amp; Vacuum Cleaner cuma Rp.1000 dari #WIBdiPlay… https://t.co/Y1miEYRMUf"
99,"BESOK

Gojek, Tokopedia, &amp; GoTo Financial memanggil Mitra Usaha pemilik Bisnis &amp; UMKM hadir di Konferensi Maju Digi… https://t.co/6rAp2LFRxX"
